candidate_id,schema_target,entity_or_relation_id,evidence_ids,confidence,publication_safety,eligible_for_07b,block_reason,requires_human_review,notes
SC-07A-0001,Brand or Organization page entity,brand:yuanhengli,EV-002|EV-004|EV-010,medium,review-required,no,disambiguation_conflict,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0002,Organization candidate,organization:beijing-yuanhengli-hardwood-furniture,EV-006,high,review-required,no,disambiguation_conflict,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0003,Article or FAQ topic entity,material:redwood,EV-007,high,public-safe,no,page_dependency_not_verified,yes,Entity candidate only; this stage does not generate Schema. 07A2 classification=article-page-dependent; conditional only after public page review and metadata confirmation.
SC-07A-0004,Article or FAQ topic entity,material:huanghuali,,medium,review-required,no,disambiguation_conflict,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0005,Article or FAQ topic entity,material:zitan,,medium,review-required,no,disambiguation_conflict,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0006,Article or FAQ topic entity,material:suanzhi,,medium,review-required,no,publication_safety_not_public_safe,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0007,ProductCategory topic entity,category:redwood-furniture,EV-007|EV-008|EV-009|EV-010|EV-011|EV-012,high,public-safe,no,disambiguation_conflict,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0008,Article topic entity,style:ming-style-furniture,,medium,review-required,no,disambiguation_conflict,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0009,Article topic entity,style:qing-style-furniture,,medium,review-required,no,disambiguation_conflict,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0010,citation/source evidence node,source:s0-001,,high,public-safe,no,missing_evidence_id,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0011,citation/source evidence node,source:s0-002,,high,public-safe,no,missing_evidence_id,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0012,citation/source evidence node,source:s0-003,,high,public-safe,no,missing_evidence_id,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0013,citation/source evidence node,source:s0-004,,high,public-safe,no,missing_evidence_id,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0014,citation/source evidence node,source:a-001,,medium,public-safe,no,missing_evidence_id,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0015,citation/source evidence node,source:a-002,,medium,public-safe,no,missing_evidence_id,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0016,citation/source evidence node,source:a-003,,medium,public-safe,no,missing_evidence_id,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0017,citation/source evidence node,source:a-004,,medium,public-safe,no,missing_evidence_id,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0018,citation/source evidence node,source:a-005,,medium,public-safe,no,missing_evidence_id,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0019,citation/source evidence node,source:a-006,,medium,public-safe,no,missing_evidence_id,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0020,citation/source evidence node,source:a-007,,medium,public-safe,no,missing_evidence_id,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0021,citation/source evidence node,source:a-008,,medium,public-safe,no,missing_evidence_id,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0022,citation/source evidence node,source:a-009,,medium,public-safe,no,missing_evidence_id,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0023,citation/source evidence node,source:a-010,,medium,public-safe,no,missing_evidence_id,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0024,citation/source evidence node,source:b-001,,high,public-safe,no,missing_evidence_id,yes,Entity candidate only; this stage does not generate Schema.
SC-07A-0025,citation/source evidence node,source:b-002,,high,public-safe,no,missing_evidence_id,yes,Entity candidate only; this stage does not generate Schema.
