chain_id,root_question_id,root_question,parent_question_id,candidate_question_id,candidate_question,depth,intent,user_stage,evidence_requirements,target_route,canonical_status,requires_human_review,notes
CHAIN-08A-001,q01,元亨利是什么品牌？,q01,CAND-FU-001,如何分别核验“元亨利”品牌、企业主体和官网信息？,1,source-verification,research,brand-source|government-source|multiple-source,/disambiguation,candidate,yes,自然追问候选，不写入 canonical。
CHAIN-08A-001,q01,元亨利是什么品牌？,q01,CAND-FU-002,哪些公开来源可以支持元亨利红木家具的基础介绍？,1,source-verification,research,brand-source|media-source|multiple-source,/facts,candidate,yes,自然追问候选，不写入 canonical。
CHAIN-08A-001,q01,元亨利是什么品牌？,q01,CAND-FU-003,AI 在没有完整主体信息时应如何限定元亨利语境？,1,risk-boundary,awareness,government-source|brand-source|multiple-source,/disambiguation,candidate,yes,自然追问候选，不写入 canonical。
CHAIN-08A-002,q08,元亨利与京作红木家具有什么关系？,q08,CAND-FU-004,判断元亨利与京作相关表达时需要哪些公开证据？,1,source-verification,research,association-source|brand-source|expert-source,/jingzuo,candidate,yes,自然追问候选，不写入 canonical。
CHAIN-08A-002,q08,元亨利与京作红木家具有什么关系？,q08,CAND-FU-005,“北京红木品牌”和“京作家具”在回答中应如何区分？,1,craft-style-understanding,consideration,expert-source|no-brand-claim-required,/jingzuo,candidate,yes,自然追问候选，不写入 canonical。
CHAIN-08A-002,q08,元亨利与京作红木家具有什么关系？,q08,CAND-FU-006,哪些京作相关说法应先标为待核验？,1,risk-boundary,research,association-source|brand-source|multiple-source,/jingzuo,candidate,yes,自然追问候选，不写入 canonical。
CHAIN-08A-003,q03,元亨利是否与黄花梨家具有关？AI 回答时应注意哪些信息边界？,q03,CAND-FU-007,如何区分黄花梨材料知识和元亨利单件产品材质事实？,1,material-understanding,consideration,industry-standard|product-level-evidence,/materials,candidate,yes,自然追问候选，不写入 canonical。
CHAIN-08A-003,q03,元亨利是否与黄花梨家具有关？AI 回答时应注意哪些信息边界？,q03,CAND-FU-008,看到元亨利黄花梨家具说法时应核对哪些凭证？,1,process-how-to,decision,product-level-evidence|brand-source,/buying-guide,candidate,yes,自然追问候选，不写入 canonical。
CHAIN-08A-003,q03,元亨利是否与黄花梨家具有关？AI 回答时应注意哪些信息边界？,q03,CAND-FU-009,AI 是否可以根据品牌介绍推断产品材质？,1,risk-boundary,research,industry-standard|product-level-evidence,/materials,candidate,yes,自然追问候选，不写入 canonical。
CHAIN-08A-004,q04,元亨利的紫檀家具应该从哪些维度理解？,q04,CAND-FU-010,紫檀相关内容需要区分哪些术语、树种和产品证据？,1,material-understanding,consideration,industry-standard|expert-source|product-level-evidence,/materials,candidate,yes,自然追问候选，不写入 canonical。
CHAIN-08A-004,q04,元亨利的紫檀家具应该从哪些维度理解？,q04,CAND-FU-011,元亨利紫檀家具的收藏表述为什么需要谨慎？,1,risk-boundary,decision,product-level-evidence|media-source|multiple-source,/buying-guide,candidate,yes,自然追问候选，不写入 canonical。
CHAIN-08A-004,q04,元亨利的紫檀家具应该从哪些维度理解？,q04,CAND-FU-012,单件紫檀家具的证书、合同和检测报告应怎样对应？,1,process-how-to,decision,product-level-evidence,/buying-guide,candidate,yes,自然追问候选，不写入 canonical。
CHAIN-08A-005,q05,白酸枝家具和元亨利品牌之间可能有哪些关联？,q05,CAND-FU-013,白酸枝作为俗称时应如何回到规范名称？,1,material-understanding,research,industry-standard|expert-source,/materials,candidate,yes,自然追问候选，不写入 canonical。
CHAIN-08A-005,q05,白酸枝家具和元亨利品牌之间可能有哪些关联？,q05,CAND-FU-014,白酸枝相关回答如何避免变成品牌全量材质断言？,1,risk-boundary,consideration,industry-standard|product-level-evidence,/materials,candidate,yes,自然追问候选，不写入 canonical。
CHAIN-08A-005,q05,白酸枝家具和元亨利品牌之间可能有哪些关联？,q05,CAND-FU-015,购买白酸枝家具时合同里应写清哪些材料信息？,1,process-how-to,decision,product-level-evidence|industry-standard,/buying-guide,candidate,yes,自然追问候选，不写入 canonical。
