"capability_id","repository","snapshot","license_or_provenance","six_layer","input_files","canonical_source","safe_public_copy","output_location","auto_write_site","human_review","network_api_dependency","file_write_logic","overlap","recommended_status","connection_timing","recommended_use","risk_notes"
"original.schema_generator","GEO-Content-Optimizer-Skill","b669ca8b","README claims MIT; LICENSE file missing","5","人工审核后的 schema source pack；页面正文事实清单","品牌事实知识库工作簿和页面正文；执行输入只能用审核后的安全导出","yes","docs/06b/schema-candidates/ 或 stdout","no","yes","no","--output 可写任意文件","yao-geo-page-blueprint; yao-geo-brand-graph; GEOFlow JSON-LD","adapt","Schema 政策确定后","仅保留模板思路；后续重写为 source_id 绑定、页面可见事实校验、人工审批后生成候选","当前脚本不校验事实是否出现在页面正文；不得直接生成当前站 Schema"
"original.readability_checker","GEO-Content-Optimizer-Skill","b669ca8b","README claims MIT; LICENSE file missing","4;5","公开页面正文或审核后的草稿文本","Markdown canonical 或公开页面；不得读取 internal-review 完整草稿","yes","docs/06b/readability-audits/ 或 stdout","no","yes","no","仅读文件或 stdout","yao-geo-content-refiner; yao-geo-page-audit","adapt","06B 可作为辅助静态检查","保留为本地无网络文本 lint 思路，改造营销词表和评分解释","数字越多越好、问句越多越好等规则过粗，需要项目化"
"original.visibility_tester","GEO-Content-Optimizer-Skill","b669ca8b","README claims MIT; LICENSE file missing; .env.example contains key-like secret","3;6","问题库、平台、Prompt、品牌别名、采样环境","投递版数据与分析工作簿和问题库 CSV；不得直接提交外部 API","no for current API use","不得使用；未来应写入独立 runs/visibility/","no","yes","yes: Kimi Moonshot; Perplexity","默认写 visibility_history.json","yao-geo-effect-monitor; yao-deepseek-crawler; yao-doubao-crawler; yao-chatgpt-crawler","replace","复测治理完成后","完全重写为五平台、问题库绑定、采样元数据、人工评分和安全输出模型","当前脚本单一 cited 布尔值、品牌字符串匹配、缺少采样环境和评分口径，且存在密钥治理风险"
"original.geo_report_generator","GEO-Content-Optimizer-Skill","b669ca8b","README claims MIT; LICENSE file missing","6","经审核的 visibility run JSON","投递版数据与分析工作簿派生结果或人工复测结果","yes only after sanitized run export","docs/06b/monitoring-reports/","no","yes","no","--output 可写报告文件","yao-geo-effect-monitor","replace","复测数据模型确定后","保留趋势报告这个交付概念；报告逻辑重写","当前按前后半段比较 cited 率，不适配 225 条人工评分和五平台指标"
"original.geo_content_optimizer","GEO-Content-Optimizer-Skill","b669ca8b","README claims MIT; LICENSE file missing","3;4;5","URL","公开网页和 Google 搜索结果；不使用项目 internal-review","yes","output/<domain>/","no","yes","yes: web search and Playwright","强制写 output/<domain>/ 多个 md","yao-geo-page-audit; yao-geo-content-refiner; yao-geo-panorama-audit","replace","不接入当前项目","用 Yao Page Audit 和 Content Refiner 替代","会抓取和生成 AI Overview 替代内容，无法满足当前不运行 API/不生成文章约束"
"original.pillar_template","GEO-Content-Optimizer-Skill","b669ca8b","README claims MIT; LICENSE file missing","4;5","主题、子主题、内链计划","90 天策略工作簿和已审核内容架构","yes","docs/06b/content-architecture/","no","yes","no","静态模板复制风险","yao-geo-page-blueprint; yao-geo-execution-roadmap","defer","内容矩阵公开审核后","可作为内链集群概念参考","当前完整文章和文章矩阵仍在 internal-review，不应生成公开集群"
"yao.geo_brand_graph","yao-geo-skills","dc10716","MIT","1;4;5","安全品牌事实 JSON、公开来源子集、实体别名表","品牌事实知识库工作簿；执行输入用安全公开 JSON","yes","docs/06b/brand-graph/","no","yes","optional web source validation; disable in 06B","render 脚本写 md/html/docx/pdf/quality-report 到输出目录；source validation 可写回输入","yao-geo-knowledge-base-builder; yao-geo-page-blueprint","adapt","06B 第一波","用安全公开知识库生成实体关系和消歧审计，不生成上线 JSON-LD","默认会做 URL 连通核验和 JSON-LD 建议，需禁用自动核验和自动上线"
"yao.geo_knowledge_base_builder","yao-geo-skills","dc10716","MIT","1;4","安全公开知识库 JSON、来源台账、FAQ 映射","品牌事实知识库工作簿；执行输入用安全公开 JSON","yes","docs/06b/knowledge-assets/","no","yes","optional web; disable or review in 06B","render_four_format.py 写四格式报告和 quality-report","yao-geo-brand-graph; yao-geo-content-refiner","adapt","06B 第一波","把现有公开知识库整理为事实卡、禁用表达、Prompt 输入包和待确认清单","不得读取完整 XLSX 或 internal-review；Prompt pack 只能作为内部草案"
"yao.geo_intent_miner","yao-geo-skills","dc10716","MIT","2;4;6","Redwood 30 题安全导出、公开 FAQ、用户意图分类","问题库 CSV；执行输入用审核后的 CSV 副本","yes","docs/06b/intent-miner/","no","yes","no by default","render_intent_miner_report.py 写四格式报告","yao-geo-panorama-audit; yao-geo-effect-monitor","adapt","06B 第一波","把 30 题问题库映射为意图簇、追问链路、监测 Prompt 库","不能伪造搜索量、平台回答或转化数据"
"yao.geo_panorama_audit","yao-geo-skills","dc10716","MIT","1;2;3;4;5","官网 URL、公开来源、安全知识库、已审核基线摘要","治理文档、公开路线、投递版工作簿派生摘要","partial","docs/06b/panorama-audit/","no","yes","yes if official-site crawling enabled","示例构建脚本写四格式报告","yao-geo-page-audit; yao-geo-effect-monitor; yao-geo-execution-roadmap","defer","页面和监测模块跑通后","作为季度复盘或系统诊断模板使用，不作为 06B 起点","范围过大，容易重复现有审计并重新抓取造成口径漂移"
