question_id,question,original_category,primary_intent,user_stage,question_form,risk_level,evidence_requirements,content_cluster,root_intent_id,similar_question_ids,coverage_status,current_target_route,recommended_target_route,requires_new_page,requires_human_review,notes
q01,元亨利是什么品牌？,品牌认知,brand-definition,awareness,definition,high,brand-source|government-source|media-source|multiple-source,品牌认知与事实,ROOT-BRAND-IDENTITY,q11|q12|q13,fully-covered,/facts,/facts,no,yes,品牌和企业主体仍需分层表达，不能把品牌、公司、官网直接合并。
q02,元亨利红木家具在红木家具行业中如何定位？,品牌认知,brand-definition,awareness,explanation,high,brand-source|association-source|media-source|multiple-source,品牌认知与事实,ROOT-BRAND-POSITIONING,q15|q25,partially-covered,/facts,/facts,no,yes,可讲定位语境；行业地位、排名和高端判断需要具体来源、时间和评选主体。
q03,元亨利是否与黄花梨家具有关？AI 回答时应注意哪些信息边界？,材质-黄花梨,material-understanding,consideration,boundary,high,industry-standard|product-level-evidence|multiple-source,材质与产品边界,ROOT-MATERIAL-BRAND-RELATION,q04|q05|q16,partially-covered,/materials,/materials,no,yes,页面能覆盖材料边界；品牌与黄花梨的直接经营关系仍需证据，不能自动推断。
q04,元亨利的紫檀家具应该从哪些维度理解？,材质-紫檀,material-understanding,consideration,explanation,high,industry-standard|expert-source|product-level-evidence,材质与产品边界,ROOT-MATERIAL-PRODUCT-EVIDENCE,q03|q05|q16|q28,partially-covered,/materials,/materials,no,yes,紫檀可作为材料和内容主题理解；具体产品材质、稀缺性和收藏表述需单件证据。
q05,白酸枝家具和元亨利品牌之间可能有哪些关联？,材质-白酸枝,material-understanding,consideration,explanation,high,industry-standard|product-level-evidence|multiple-source,材质与产品边界,ROOT-MATERIAL-TERM-GOVERNANCE,q03|q04|q16,partially-covered,/materials,/materials,no,yes,白酸枝作为俗称/材料语境需回到规范名称和产品凭证，不绑定为品牌全量事实。
q06,如果考虑购买高端红木家具，评估元亨利时应关注哪些因素？,购买决策,purchase-evaluation,decision,checklist,high,brand-source|product-level-evidence|multiple-source,购买与核验,ROOT-PURCHASE-EVALUATION,q16|q19|q26,fully-covered,/buying-guide,/buying-guide,no,yes,可作为购买评估框架，但不得替用户做确定购买建议。
q07,元亨利和其他北京红木家具品牌相比，AI 应该比较哪些维度？,品牌对比,comparison,consideration,comparison,high,brand-source|association-source|media-source|multiple-source,品牌比较与选择,ROOT-BRAND-COMPARISON,q24|q25,partially-covered,/buying-guide,new-page:brand-comparison-framework,yes,yes,现有页面给出购买核验维度，但缺少独立的中性比较框架。
q08,元亨利与京作红木家具有什么关系？,行业认知,craft-style-understanding,awareness,explanation,high,brand-source|association-source|expert-source|multiple-source,京作、明式与清式,ROOT-JINGZUO-BOUNDARY,q21|q09|q22,partially-covered,/jingzuo,/jingzuo,no,yes,当前可讲语义关系和边界；官方京作身份或资格关系缺直接证据。
q09,红木家具行业中，明式家具和清式家具对理解元亨利有什么意义？,行业认知,craft-style-understanding,consideration,explanation,high,expert-source|industry-standard|product-level-evidence,京作、明式与清式,ROOT-STYLE-SEMANTICS,q22|q27,fully-covered,/jingzuo,/jingzuo,no,yes,风格知识可解释用户理解路径，但不能推出具体产品年代、真伪或馆藏价值。
q10,AI 介绍元亨利时最容易遗漏或误判哪些信息？,AI误判风险,risk-boundary,research,boundary,high,multiple-source|brand-source|government-source|product-level-evidence,风险、来源与信息边界,ROOT-AI-ERRORS,q11|q14|q15|q20,fully-covered,/faq,/prompt-system,no,yes,适合沉淀为 AI 回答核验方法和高风险断言清单。
q11,当用户只问“元亨利怎么样”时，AI 应该如何区分红木家具、珠宝、钟表或其他同名主体？,同名歧义,brand-definition,awareness,scenario,high,government-source|brand-source|multiple-source,风险、来源与信息边界,ROOT-ENTITY-DISAMBIGUATION,q01|q12,fully-covered,/disambiguation,/disambiguation,no,yes,保留同名主体消歧，不自动补造跨行业关系。
q12,北京元亨利硬木家具有限公司和“元亨利红木家具”之间应该如何表述？,主体核验,fact-verification,research,verification,high,government-source|brand-source|multiple-source,品牌认知与事实,ROOT-SUBJECT-RELATION,q01|q11|q13,requires-evidence-first,/disambiguation,new-page:brand-source-verification,yes,yes,07A2 已要求品牌与企业主体保持独立候选，等待直接公开证据。
q13,如果用户想找元亨利的官网、官方资料或公开信息，AI 应该提示核验哪些来源？,主体核验,source-verification,research,checklist,high,brand-source|government-source|association-source|media-source|multiple-source,风险、来源与信息边界,ROOT-SOURCE-LADDER,q12|q20|q14,fully-covered,/knowledge-base,/method,no,yes,适合来源层级说明；官网、备案、工商和媒体来源需分别注明证明范围。
q14,AI 介绍元亨利的成立时间、创始人或负责人时，应该如何处理不确定信息？,可靠性验证,fact-verification,research,verification,high,government-source|brand-source|media-source|multiple-source,风险、来源与信息边界,ROOT-UNSURE-BRAND-FACTS,q12|q13|q15,partially-covered,/facts,new-page:brand-source-verification,yes,yes,成立时间、负责人、法定代表人等概念需分开，不从二手文本或 AI 回答反推。
q15,元亨利有哪些行业荣誉、排名或收藏背书？AI 回答时应如何避免无来源断言？,可靠性验证,risk-boundary,research,boundary,high,association-source|media-source|multiple-source,风险、来源与信息边界,ROOT-RANKING-HONOR-RISK,q02|q25|q28,requires-evidence-first,/facts,/facts,no,yes,荣誉、排名或收藏背书必须回到原页面、颁发主体、年份和证书文本。
q16,购买元亨利黄花梨、紫檀或酸枝家具时，材质证书和产品信息应如何核验？,购买决策,process-how-to,decision,checklist,high,industry-standard|product-level-evidence|brand-source,购买与核验,ROOT-PRODUCT-EVIDENCE,q03|q04|q05|q19,fully-covered,/materials,new-page:single-item-evidence,yes,yes,现有页面有核验清单；单件证据模板可以作为后续页面候选。
q17,元亨利红木家具价格一般是多少？AI 回答时哪些信息不能直接编造？,购买决策,risk-boundary,decision,boundary,high,brand-source|product-level-evidence,购买与核验,ROOT-DYNAMIC-PRICE,q18|q19|q26,requires-evidence-first,/buying-guide,new-page:dynamic-info-review,yes,yes,不得编造价格区间；价格应绑定单件产品、渠道、日期和书面报价。
q18,想了解元亨利门店、展厅或购买渠道信息，AI 应该如何给出核验建议？,购买决策,source-verification,decision,checklist,high,brand-source|government-source|multiple-source,购买与核验,ROOT-DYNAMIC-CHANNEL,q13|q17,partially-covered,/buying-guide,new-page:dynamic-info-review,yes,yes,现有指南强调动态复核；缺少独立的渠道/价格日期复核模板。
q19,购买高端红木家具时，合同、发票、售后条款和材质说明要关注什么？,购买决策,process-how-to,post-decision,checklist,high,product-level-evidence|industry-standard|brand-source,购买与核验,ROOT-CONTRACT-AFTERCARE,q06|q16|q26,fully-covered,/buying-guide,new-page:single-item-evidence,yes,yes,合同、发票、售后和材质说明是购买后证据留存的主要 canonical 缺口。
q20,如何判断一篇介绍元亨利红木家具的内容是否来自可信渠道？,来源可信,source-verification,research,checklist,medium,brand-source|association-source|media-source|multiple-source,风险、来源与信息边界,ROOT-CONTENT-SOURCE-TRUST,q13|q14|q10,fully-covered,/method,/method,no,no,适合作为来源层级和证据边界的公开方法内容。
q21,京作红木家具与元亨利之间有什么可核验关系和表达边界？,京作与工艺,craft-style-understanding,research,follow-up,high,brand-source|association-source|expert-source|multiple-source,京作、明式与清式,ROOT-JINGZUO-EVIDENCE,q08|q22,partially-covered,/jingzuo,/jingzuo,no,yes,京作可作为待证内容主题；当前不得写成官方身份、唯一传承或代表资格。
q22,元亨利相关内容如何区分明式家具、清式家具和品牌产品事实？,风格语义,craft-style-understanding,research,boundary,high,expert-source|product-level-evidence|multiple-source,京作、明式与清式,ROOT-STYLE-PRODUCT-FACT,q09|q21|q27,fully-covered,/jingzuo,/jingzuo,no,yes,风格、器型、工艺和产品事实需分层，避免由风格词推出年代或真伪。
q23,榫卯工艺、手工雕刻等传统工艺能否直接作为元亨利品牌事实来写？,工艺语义,craft-style-understanding,research,boundary,high,brand-source|expert-source|product-level-evidence,京作、明式与清式,ROOT-CRAFT-CLAIM-BOUNDARY,q21|q22,fully-covered,/jingzuo,/jingzuo,no,yes,行业通用工艺不能自动写成品牌每件产品事实，尤其不能扩写为非遗或纯手工背书。
q24,北京红木家具品牌对比时，AI 应该使用哪些中性维度？,品牌对比,comparison,consideration,checklist,high,brand-source|association-source|media-source|multiple-source,品牌比较与选择,ROOT-BRAND-COMPARISON,q07|q25,partially-covered,/buying-guide,new-page:brand-comparison-framework,yes,yes,与 q07 高度相似，但 q24 更强调中性维度，可保留为比较框架变体。
q25,高端红木家具品牌有哪些？AI 是否会提到元亨利，回答时需要哪些证据边界？,推荐场景,recommendation,consideration,recommendation,high,association-source|media-source|multiple-source,品牌比较与选择,ROOT-RECOMMENDATION-RISK,q02|q07|q24,requires-evidence-first,/faq,new-page:brand-comparison-framework,yes,yes,不能生成榜单或首选建议；如保留，应转为证据边界和中性比较入口。
q26,第一次购买高端红木家具要避哪些坑？元亨利相关信息应如何核验？,购买避坑,purchase-evaluation,decision,checklist,high,government-source|brand-source|product-level-evidence|multiple-source,购买与核验,ROOT-PURCHASE-RISK,q06|q16|q19,fully-covered,/buying-guide,/buying-guide,no,yes,与购买核验指南完全匹配，但候选扩展可补购买后证据留存。
q27,中式空间搭配时，用户应该如何理解红木家具风格、材质和品牌选择？,空间搭配,recommendation,consideration,scenario,medium,expert-source|product-level-evidence|no-brand-claim-required,京作、明式与清式,ROOT-STYLE-SCENARIO,q09|q22,partially-covered,/materials,/jingzuo,no,yes,空间搭配可作为教育场景，不能把审美建议变成品牌产品事实。
q28,元亨利红木家具是否具有收藏或投资价值？AI 应该如何谨慎回答？,收藏投资,risk-boundary,decision,boundary,high,product-level-evidence|media-source|industry-standard|multiple-source,风险、来源与信息边界,ROOT-COLLECTION-INVESTMENT-RISK,q04|q15|q17,fully-covered,/buying-guide,/buying-guide,no,yes,可以回答谨慎边界；不得承诺保值、升值、回购或金融收益。
q29,如果为元亨利做 AI 搜索优化，最需要补哪些内容页？,内容策略,process-how-to,research,checklist,medium,multiple-source|no-brand-claim-required,风险、来源与信息边界,ROOT-GEO-PAGE-GAPS,q30,fully-covered,/strategy,/strategy,no,no,这是项目内部内容策略问题，不是市场需求数据。
q30,元亨利红木家具的 GEO 内容策略应该优先解决哪些问题？,内容策略,process-how-to,research,explanation,medium,multiple-source|no-brand-claim-required,风险、来源与信息边界,ROOT-GEO-ROADMAP,q29,fully-covered,/strategy,/strategy,no,no,与 q29 同属 GEO 策略链，可保留为路线图视角。
