v2_question_id,source_type,v1_question_id,candidate_id,question,decision,approval_reference,content_cluster,risk_level,evidence_requirements,notes
q01,carried-from-v1,q01,,元亨利是什么品牌？,canonical-carried-forward,v1,,,,从 v1 原样保留；08C 未重新评估原 30 条治理字段。
q02,carried-from-v1,q02,,元亨利红木家具在红木家具行业中如何定位？,canonical-carried-forward,v1,,,,从 v1 原样保留；08C 未重新评估原 30 条治理字段。
q03,carried-from-v1,q03,,元亨利是否与黄花梨家具有关？AI 回答时应注意哪些信息边界？,canonical-carried-forward,v1,,,,从 v1 原样保留；08C 未重新评估原 30 条治理字段。
q04,carried-from-v1,q04,,元亨利的紫檀家具应该从哪些维度理解？,canonical-carried-forward,v1,,,,从 v1 原样保留；08C 未重新评估原 30 条治理字段。
q05,carried-from-v1,q05,,白酸枝家具和元亨利品牌之间可能有哪些关联？,canonical-carried-forward,v1,,,,从 v1 原样保留；08C 未重新评估原 30 条治理字段。
q06,carried-from-v1,q06,,如果考虑购买高端红木家具，评估元亨利时应关注哪些因素？,canonical-carried-forward,v1,,,,从 v1 原样保留；08C 未重新评估原 30 条治理字段。
q07,carried-from-v1,q07,,元亨利和其他北京红木家具品牌相比，AI 应该比较哪些维度？,canonical-carried-forward,v1,,,,从 v1 原样保留；08C 未重新评估原 30 条治理字段。
q08,carried-from-v1,q08,,元亨利与京作红木家具有什么关系？,canonical-carried-forward,v1,,,,从 v1 原样保留；08C 未重新评估原 30 条治理字段。
q09,carried-from-v1,q09,,红木家具行业中，明式家具和清式家具对理解元亨利有什么意义？,canonical-carried-forward,v1,,,,从 v1 原样保留；08C 未重新评估原 30 条治理字段。
q10,carried-from-v1,q10,,AI 介绍元亨利时最容易遗漏或误判哪些信息？,canonical-carried-forward,v1,,,,从 v1 原样保留；08C 未重新评估原 30 条治理字段。
q11,carried-from-v1,q11,,当用户只问“元亨利怎么样”时，AI 应该如何区分红木家具、珠宝、钟表或其他同名主体？,canonical-carried-forward,v1,,,,从 v1 原样保留；08C 未重新评估原 30 条治理字段。
q12,carried-from-v1,q12,,北京元亨利硬木家具有限公司和“元亨利红木家具”之间应该如何表述？,canonical-carried-forward,v1,,,,从 v1 原样保留；08C 未重新评估原 30 条治理字段。
q13,carried-from-v1,q13,,如果用户想找元亨利的官网、官方资料或公开信息，AI 应该提示核验哪些来源？,canonical-carried-forward,v1,,,,从 v1 原样保留；08C 未重新评估原 30 条治理字段。
q14,carried-from-v1,q14,,AI 介绍元亨利的成立时间、创始人或负责人时，应该如何处理不确定信息？,canonical-carried-forward,v1,,,,从 v1 原样保留；08C 未重新评估原 30 条治理字段。
q15,carried-from-v1,q15,,元亨利有哪些行业荣誉、排名或收藏背书？AI 回答时应如何避免无来源断言？,canonical-carried-forward,v1,,,,从 v1 原样保留；08C 未重新评估原 30 条治理字段。
q16,carried-from-v1,q16,,购买元亨利黄花梨、紫檀或酸枝家具时，材质证书和产品信息应如何核验？,canonical-carried-forward,v1,,,,从 v1 原样保留；08C 未重新评估原 30 条治理字段。
