"data_id","data_name","data_category","absolute_path","file_type","scope","role","source_or_derived","authoritative_status","generated_from","consumed_by","last_modified","hash_or_version","contains_raw_answers","contains_manual_scores","contains_brand_claims","public_download","risk","recommended_action","notes"
"APP-DATA-001","app/data.ts hard-coded site dataset","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/data.ts","TS","website repo","website-copy","mixed","duplicate","Delivery data workbook; knowledge base workbook; strategy workbook; manual page labels","all website pages","2026-07-18T18:41:08+0800","a73e9c61a32e754269c27edd19f18c2c761075b53ce59116d47edbdd0a2471b9","no","no","yes","no","high","Keep as website display copy only; regenerate from confirmed canonical sources after source updates","Not canonical for raw answers, manual scores, metrics, question bank, brand facts, FAQ, strategy, prompts or article samples."
"APP-PAGE-HOME-001","Home page hard-coded metrics and narrative blocks","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/page.tsx","TSX","website repo","website-copy","mixed","duplicate","app/data.ts plus delivery workbook dashboard and reports","public home page","2026-07-17T22:52:20+0800","a3f61f3704fd92e5409bf7190d2587a99da308883de15db9f75c384487ea9d72","no","no","yes","no","high","Sync from confirmed workbook, knowledge-base JSON, strategy workbook or Markdown source; do not edit as canonical","Website page content is display copy only and cannot decide core data truth."
"APP-PAGE-METHOD-001","Method page hard-coded study design and key results","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/method/page.tsx","TSX","website repo","website-copy","mixed","duplicate","Delivery data workbook README/Dashboard; reports summary","/method","2026-07-16T17:33:23+0800","01e8ccaee40941f198241203a0f4a020369ce97c79970ec94c40a7954d285967","no","no","yes","no","high","Sync from confirmed workbook, knowledge-base JSON, strategy workbook or Markdown source; do not edit as canonical","Website page content is display copy only and cannot decide core data truth."
"APP-PAGE-FACTS-001","Facts page brand fact narrative","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/facts/page.tsx","TSX","website repo","website-copy","mixed","duplicate","Knowledge base public JSON; source library; app/data.ts source ids","/facts","2026-07-16T15:27:50+0800","2950c3d6c61784cc4af70e7eb3b293c9b42502f913f9418227189d3849b11903","no","no","yes","no","medium","Sync from confirmed workbook, knowledge-base JSON, strategy workbook or Markdown source; do not edit as canonical","Website page content is display copy only and cannot decide core data truth."
"APP-PAGE-DISAMBIG-001","Disambiguation page narrative","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/disambiguation/page.tsx","TSX","website repo","website-copy","mixed","duplicate","Knowledge base entity and source records; delivery EvidenceIndex","/disambiguation","2026-07-16T15:27:50+0800","0f08ec5d17a7511e4ec77c772b6ce99838f400879dcab67d4563733e66011506","no","no","yes","no","medium","Sync from confirmed workbook, knowledge-base JSON, strategy workbook or Markdown source; do not edit as canonical","Website page content is display copy only and cannot decide core data truth."
"APP-PAGE-MATERIALS-001","Materials page narrative","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/materials/page.tsx","TSX","website repo","website-copy","mixed","duplicate","Knowledge base facts for standards/materials; app/data.ts source ids","/materials","2026-07-16T15:27:50+0800","69a234d63211f5daa32e06137d7dc9ef7b356eb38c9c04fe3738c8f305b35beb","no","no","yes","no","medium","Sync from confirmed workbook, knowledge-base JSON, strategy workbook or Markdown source; do not edit as canonical","Website page content is display copy only and cannot decide core data truth."
"APP-PAGE-JINGZUO-001","Jingzuo and style page narrative","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/jingzuo/page.tsx","TSX","website repo","website-copy","mixed","duplicate","Knowledge base facts for style and association sources","/jingzuo","2026-07-16T15:27:50+0800","5c620f2a2e403b7dff53c1d6829ee63e5e2a63574cc7e231c7447cac6ebeb3d4","no","no","yes","no","medium","Sync from confirmed workbook, knowledge-base JSON, strategy workbook or Markdown source; do not edit as canonical","Website page content is display copy only and cannot decide core data truth."
"APP-PAGE-BUYING-001","Buying guide page narrative","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/buying-guide/page.tsx","TSX","website repo","website-copy","mixed","duplicate","Knowledge base dynamic/product evidence records; app/data.ts source ids","/buying-guide","2026-07-16T15:27:50+0800","a2987333830cc955005ddb4d2fc2779d31e98f5c773f329e247d942a6c35afd8","no","no","yes","no","high","Sync from confirmed workbook, knowledge-base JSON, strategy workbook or Markdown source; do not edit as canonical","Website page content is display copy only and cannot decide core data truth."
"APP-PAGE-KB-001","Knowledge base page display logic and metrics","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/knowledge-base/page.tsx","TSX","website repo","website-copy","derived","duplicate","app/knowledge-base/knowledge-base-public.json; app/data.ts downloads","/knowledge-base","2026-07-17T22:53:13+0800","45c0d3c34c130befc3bb1c000880c5c26c860e59b2cd3568dbd3791546ad1fc3","no","no","yes","no","medium","Sync from confirmed workbook, knowledge-base JSON, strategy workbook or Markdown source; do not edit as canonical","Website page content is display copy only and cannot decide core data truth."
"APP-PAGE-PROMPT-001","Prompt system page prompt modules and rules","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/prompt-system/page.tsx","TSX","website repo","website-copy","mixed","duplicate","Knowledge base public JSON; app/data.ts FAQ; manual prompt copy","/prompt-system","2026-07-17T22:53:25+0800","afafbe37f458fe1a6ce5b0c98e5ed5752ab3dbf4704542975bdd3b30fda198de","no","no","yes","no","medium","Sync from Markdown canonical public/downloads/yhl-geo-enterprise-prompt-system.md after human review","TSX page is presentation copy for the prompt system; Markdown is canonical."
