candidate_id,candidate_question,source_gap,primary_intent,user_stage,risk_level,evidence_requirements,content_cluster,recommended_route,new_page_candidate,duplication_risk,publication_safety,recommended_action,requires_human_review,status,notes
CAND-INTENT-001,如何核验“元亨利红木家具”与具体企业主体、官网和公开账号之间的关系？,品牌主体核验,source-verification,research,high,brand-source|government-source|multiple-source,品牌认知与事实,new-page:brand-source-verification,品牌主体与公开渠道核验,medium,hold-evidence,hold-evidence,yes,candidate,补 q12/q13 的身份链路，不自动合并品牌和企业主体。
CAND-INTENT-002,单件元亨利家具的主材、辅材和证书应如何对应到合同与发票？,产品级证据,process-how-to,decision,high,product-level-evidence|industry-standard,购买与核验,new-page:single-item-evidence,产品与单件证据核验,medium,safe-if-boundary-only,consider-for-v2,yes,candidate,补 q16/q19 的单件证据链，不判断具体产品真伪。
CAND-INTENT-003,购买后应保存哪些合同、证书、检测、交付和售后资料？,购买后证据留存,process-how-to,post-decision,high,product-level-evidence,购买与核验,new-page:single-item-evidence,产品与单件证据核验,low,safe-if-boundary-only,consider-for-v2,yes,candidate,补用户旅程末端，目前 canonical 只有 q19 部分承接。
CAND-INTENT-004,门店、展厅、价格和售后这类动态信息多久需要复核一次？,动态信息复核,source-verification,decision,high,brand-source|product-level-evidence|multiple-source,购买与核验,new-page:dynamic-info-review,品牌主体与公开渠道核验,medium,hold-evidence,hold-evidence,yes,candidate,补 q17/q18 的日期复核规则，不发布实时价格或门店承诺。
CAND-INTENT-005,如何判断官网自述、媒体报道和行业协会信息分别能证明什么？,来源可靠性,source-verification,research,medium,brand-source|media-source|association-source|multiple-source,风险、来源与信息边界,/method,AI 回答事实核验方法,medium,safe-if-method-only,consider-for-v2,no,candidate,补 q13/q20 的来源层级，不新增品牌事实。
CAND-INTENT-006,“京作”“北京品牌”和“明清风格”在元亨利相关内容中应如何分开写？,风格与身份区分,craft-style-understanding,research,high,association-source|expert-source|brand-source,京作、明式与清式,/jingzuo,风格、年代和产品描述的区别,high,safe-if-boundary-only,merge-with-existing,yes,candidate,可并入 q08/q21/q22，不应作为新正式题直接加入。
CAND-INTENT-007,看到“元亨利黄花梨家具”说法时，如何避免把材料主题误写成经营事实？,单件产品和品牌整体区别,material-understanding,consideration,high,industry-standard|product-level-evidence,材质与产品边界,/materials,红木材料标准与常见误区,high,safe-if-boundary-only,merge-with-existing,yes,candidate,与 q03 同根意图，适合做追问或页面模块。
CAND-INTENT-008,白酸枝、酸枝和红木标准名称不一致时应以哪些文件为准？,材料标准与常见误区,material-understanding,consideration,high,industry-standard|product-level-evidence|expert-source,材质与产品边界,/materials,红木材料标准与常见误区,medium,safe-if-standard-cited,consider-for-v2,yes,candidate,补 q05 的规范名称核验，不暗示品牌一定经营该材料。
CAND-INTENT-009,AI 回答里提到元亨利荣誉、排名或背书时应如何追溯来源？,AI 回答核验,risk-boundary,research,high,association-source|media-source|multiple-source,风险、来源与信息边界,/facts,AI 回答事实核验方法,medium,hold-evidence,hold-evidence,yes,candidate,补 q10/q15 的荣誉排名核验链。
CAND-INTENT-010,比较北京红木品牌时，如何用证据维度替代“哪个最好”？,比较框架,comparison,consideration,high,association-source|media-source|multiple-source,品牌比较与选择,new-page:brand-comparison-framework,品牌比较框架,high,safe-if-no-ranking,consider-for-v2,yes,candidate,补 q07/q24/q25 的公共框架，不做排行。
CAND-INTENT-011,元亨利相关内容能否使用“官方京作代表”这类说法？需要哪些证据？,京作身份核验,risk-boundary,research,high,government-source|association-source|brand-source|multiple-source,京作、明式与清式,/jingzuo,风格、年代和产品描述的区别,medium,hold-evidence,hold-evidence,yes,candidate,补 07A2 京作 hold 决策，不暗示已有官方身份。
CAND-INTENT-012,如何区分产品名称中的风格词、实际年代和收藏价值判断？,风格与年代区分,craft-style-understanding,research,high,expert-source|product-level-evidence|media-source,京作、明式与清式,/jingzuo,风格、年代和产品描述的区别,medium,safe-if-boundary-only,consider-for-v2,yes,candidate,补 q09/q22/q28 的交叉风险。
CAND-INTENT-013,用户只提供一张产品图片时，AI 应如何回答元亨利材质和真伪问题？,产品级证据,risk-boundary,decision,high,product-level-evidence,购买与核验,new-page:single-item-evidence,产品与单件证据核验,low,manual-review-required,manual-review,yes,candidate,补图片/单件真伪边界，不能从图片直接下材质结论。
CAND-INTENT-014,AI 介绍元亨利时引用旧网页或二手转载，应该如何做日期和来源复核？,AI 回答核验,source-verification,research,medium,brand-source|media-source|multiple-source,风险、来源与信息边界,/method,AI 回答事实核验方法,medium,safe-if-method-only,consider-for-v2,no,candidate,补动态资料复核，不把旧网页直接当当前事实。
CAND-INTENT-015,元亨利相关内容中的品牌整体评价和单件产品评价应如何分开？,单件产品和品牌整体区别,fact-verification,consideration,high,brand-source|product-level-evidence|multiple-source,风险、来源与信息边界,new-page:single-item-evidence,产品与单件证据核验,medium,safe-if-boundary-only,consider-for-v2,yes,candidate,补品牌整体与单件产品的层级，不生成品牌经营事实。
