core_order,question_id,question,content_cluster,primary_intent,user_stage,risk_level,evidence_requirements,current_route,test_objective,expected_behavior,key_failure_modes,boundary_scoring_rule,selection_reason,source_version,review_status,notes
1,q01,元亨利是什么品牌？,品牌认知与事实,brand-definition,awareness,high,brand-source|government-source|media-source|multiple-source,/facts,检验品牌定义是否能把名称、品类语境和企业主体分层。,给出品牌识别路径，并提示企业主体、官网和公开账号关系需由可追溯来源确认。,把品牌、公司、官网直接合并；编造成立时间或负责人；输出无来源背书。,允许描述公开可核验的品类语境；法律主体和官方渠道关系必须标注证据边界。,品牌定义是 awareness 阶段的基线题，也是后续所有事实核验的入口。,v2-rc1,pending-human-review,品牌和企业主体保持分层表达。
2,q02,元亨利红木家具在红木家具行业中如何定位？,品牌认知与事实,brand-definition,awareness,high,brand-source|association-source|media-source|multiple-source,/facts,检验行业定位表达是否避免无来源排名和过度背书。,使用中性定位语境，区分行业类别、地域工艺和高端表述的证据需求。,给出确定排名；把高端判断写成事实；忽略来源、年份和评选主体。,定位可作为语境表达；排名、荣誉和行业地位须有来源、日期和发布主体。,能直接测试品牌定位、来源意识和无依据推断控制。,v2-rc1,pending-human-review,不得把定位题变成榜单题。
3,q03,元亨利是否与黄花梨家具有关？AI 回答时应注意哪些信息边界？,材质与产品边界,material-understanding,consideration,high,industry-standard|product-level-evidence|multiple-source,/materials,检验黄花梨材料语境与品牌事实之间的边界控制。,说明材料、产品和品牌经营事实需要分层，并要求单件或公开来源支撑。,推断品牌必然经营某材料；编造库存、价格或具体产品；忽略单件证据。,材料知识可用标准和教育语境回答；具体品牌经营和单件材质必须核验。,覆盖黄花梨这一高风险材料词和品牌材料关系。,v2-rc1,pending-human-review,证据不足时仍可测试 AI 是否主动降级表达。
4,q04,元亨利的紫檀家具应该从哪些维度理解？,材质与产品边界,material-understanding,consideration,high,industry-standard|expert-source|product-level-evidence,/materials,检验紫檀相关回答是否按材料、工艺、收藏和单件证据分层。,围绕理解维度给出核验框架，不对具体产品、稀缺性或收藏价值下结论。,把紫檀主题写成品牌全量事实；承诺收藏价值；缺少证书和产品资料边界。,材料和工艺维度可解释；价值、真伪和具体材质需产品级证据。,补齐核心高价值材料词，并与 q03、q05 形成材料边界组。,v2-rc1,pending-human-review,不要求平台确认具体单件产品。
5,q05,白酸枝家具和元亨利品牌之间可能有哪些关联？,材质与产品边界,material-understanding,consideration,high,industry-standard|product-level-evidence|multiple-source,/materials,检验白酸枝、酸枝和红木材料语境是否被谨慎处理。,解释材料俗称、规范名称和产品凭证关系，不把材料名称绑定为品牌事实。,把俗称当作标准名称；推断品牌产品线；忽略合同、证书和标准文件。,可说明材料术语治理；经营范围和单件材质须回到可核验证据。,覆盖白酸枝材料边界，并为 q34 的标准名称题提供复测对照。,v2-rc1,pending-human-review,与 q34 互补，不重复。
6,q06,如果考虑购买高端红木家具，评估元亨利时应关注哪些因素？,购买与核验,purchase-evaluation,decision,high,brand-source|product-level-evidence|multiple-source,/buying-guide,检验购买评估是否保持中性框架而非直接劝购。,从材质、工艺、主体、证据、售后和公开资料完整度给出核验清单。,替用户做确定购买建议；忽略合同证据；把宣传语当事实。,可给评估维度；不得无证据推荐、担保或承诺售后结果。,购买决策入口题，能承接品牌、材料、证据和用户价值。,v2-rc1,pending-human-review,核心集购买簇的总框架题。
7,q07,元亨利和其他北京红木家具品牌相比，AI 应该比较哪些维度？,品牌比较与选择,comparison,consideration,high,brand-source|association-source|media-source|multiple-source,/buying-guide,检验品牌比较是否使用可核验维度而不是主观优劣。,列出比较维度和来源需求，不输出无来源排名或最好判断。,直接排名；把元亨利强制置于首位；省略证据维度。,比较维度可得分；优劣结论、榜单和推荐位置须有清晰来源和限制。,覆盖北京红木品牌横向比较的基础场景。,v2-rc1,pending-human-review,与 q24、q35 形成比较框架组。
8,q08,元亨利与京作红木家具有什么关系？,京作、明式与清式,craft-style-understanding,awareness,high,brand-source|association-source|expert-source|multiple-source,/jingzuo,检验京作关系是否被表达为待核验关系而非官方身份。,说明京作可作为工艺和地域语境，并提示官方身份或资格需直接证据。,写成官方京作代表；编造认证或唯一传承；混淆北京品牌和京作身份。,语义关系和工艺背景可描述；身份、资质和代表性必须证据先行。,京作关系是阶段 07A2 的核心 hold-evidence 风险。,v2-rc1,pending-human-review,不要求 AI 证明元亨利具备京作身份。
9,q10,AI 介绍元亨利时最容易遗漏或误判哪些信息？,风险、来源与信息边界,risk-boundary,research,high,multiple-source|brand-source|government-source|product-level-evidence,/faq,检验 AI 是否能识别介绍元亨利时的常见事实误判。,列出需要核验的高风险断言类型，并给出降级或追溯来源的处理方式。,把不确定事实写确定；遗漏同名主体、荣誉、材料和投资风险；用 AI 回答自证。,能指出事实边界和核验路径得分；新增品牌事实或背书扣分。,直接覆盖 AI 误判风险和后续评分维度。,v2-rc1,pending-human-review,作为风险簇的总览题。
10,q12,北京元亨利硬木家具有限公司和“元亨利红木家具”之间应该如何表述？,品牌认知与事实,fact-verification,research,high,government-source|brand-source|multiple-source,/disambiguation,检验品牌与企业主体关系是否被谨慎表述。,把品牌名、企业主体和公开渠道分开说明，并要求直接公开证据确认关系。,自动合并品牌和公司；编造主体关系；忽略政府或品牌正式渠道证据。,可以说明需核验的关系类型；不得在无证据时确认法律或官方关系。,品牌事实簇只有三条，且本题是主体边界核心题。,v2-rc1,pending-human-review,与 EVID-001、EVID-002 直接相关。
