"issue_id","audit_category","severity","publication_blocker","file_path","route_or_section","data_or_claim","canonical_reference","issue_description","evidence","recommended_action","requires_human_decision","status","notes"
"CS-001","E. FAQ、提示词和文章公开状态","high","yes","app/data.ts; app/faq/page.tsx","/faq","FAQ-P0-HUB 和 15 条 FAQ 当前以已发布公开页展示","治理规则：FAQ 统一 publication-review-required；docs/data-source-map.md FAQ 最终发布文案需要人工审核","FAQ 页面已经公开展示，且 app/data.ts 将 FAQ-P0-HUB 标为已发布；与本阶段新增治理规则不一致。","app/data.ts:397 status=已发布；app/faq/page.tsx:14 说明每条答案含来源、更新时间；docs/data-source-map.md:130 FAQ 最终发布文案需要人工审核","FAQ 页面保留公开，但仅展示 docs/faq-publication-reconciliation.csv 中 publication_decision=publish 的 13 条；未通过审核的 FAQ 不再渲染。","yes","resolved","2026-07-19 P0 修复：FAQ-08、FAQ-10 已从公开 FAQ 移除；FAQ 页增加统一项目声明。"
"CS-002","B. 品牌事实与来源","high","yes","app/data.ts; app/knowledge-base/knowledge-base-public.json; public/downloads/yhl-geo-enterprise-prompt-system.md","/faq; /prompt-system","FAQ source_id 与知识库 FAQ 映射不一致","品牌事实知识库工作簿 内容FAQ映射；公开 JSON mappings.faq；提示词 Markdown FAQ 表","15 条 FAQ 中至少 6 条网站展示 sourceIds 与知识库映射不同，FAQ-01、FAQ-11、FAQ-13 缺少 S0 主体核验来源，FAQ-10 缺少 EV 证据引用。","app/data.ts:278-282 FAQ-01 只引用 B-011；app/data.ts:348-352 FAQ-11 sourceIds=[]；app/knowledge-base/knowledge-base-public.json:2365-2367 FAQ-01 引用 S0-001/S0-002；app/knowledge-base/knowledge-base-public.json:2576-2579 FAQ-11 引用 S0-001/S0-002/S0-003；public/downloads/yhl-geo-enterprise-prompt-system.md:92,102,104 与知识库一致","以品牌事实知识库 内容FAQ映射 为准更新公开 FAQ source_id，并生成 docs/faq-publication-reconciliation.csv 记录差异和处理结果。","yes","resolved","2026-07-19 P0 修复：FAQ-01、FAQ-02、FAQ-11、FAQ-13 等公开项已使用 canonical source_id；未生成新 source_id。"
"CS-003","E. FAQ、提示词和文章公开状态","high","yes","app/prompt-system/page.tsx; public/downloads/yhl-geo-enterprise-prompt-system.md","/prompt-system; public/downloads","企业提示词体系以 Copy-ready prompts 和 Markdown 下载公开","治理规则：提示词体系统一 publication-review-required；docs/data-source-map.md:131 提示词正式发布口径需要人工审核","提示词页面公开展示可复制系统提示、路由提示和内部判断字段，且下载件可直接获取；公开发布前需要人工审核其是否适合公开。","app/prompt-system/page.tsx:197-208 显示 Copy-ready prompts；app/prompt-system/page.tsx:84-88 暴露 intent、required_fact_ids、risk_flags、answer_mode；public/downloads/yhl-geo-enterprise-prompt-system.md:44-48 同样暴露内部判断；public/downloads/yhl-geo-enterprise-prompt-system.md:130 声明非官方","/prompt-system 改为公开方法说明、流程、输入输出结构、人工审核节点和脱敏短示例；完整提示词 Markdown 移入 internal-review/downloads，不再公开下载。","yes","mitigated","2026-07-19 P0 修复：公开页面不再展示完整可复制提示词或内部字段；完整版本仍需人工审核后才能决定是否公开。"
"CS-004","E. FAQ、提示词和文章公开状态","high","yes","app/geo-articles/page.tsx; public/downloads/yhl-geo-article-matrix.md; public/downloads/yhl-geo-full-article-samples.md","/geo-articles; public/downloads","GEO 文章样稿公开，且文章矩阵使用 B-006/B-007 待补 source_id","治理规则：GEO 文章样稿统一 publication-review-required；知识库 source B-006/B-007 status=待补","文章页和下载件已公开主文章和 6 篇长文样稿；其中京作/风格和收藏文章列出待补 source_id，用户可能把 source_id 误解为可用证据。","app/geo-articles/page.tsx:256-257 说明公开知识库转成 1+6 文章；app/geo-articles/page.tsx:176 使用 B-007；app/geo-articles/page.tsx:218 使用 B-006；public/downloads/yhl-geo-article-matrix.md:14 使用 B-007；public/downloads/yhl-geo-article-matrix.md:16 使用 B-006；app/knowledge-base/knowledge-base-public.json:1572-1589 标记 B-006/B-007 待补","/geo-articles 保留为审核状态页，仅展示标题、研究目的和审核状态；文章矩阵和完整样稿 Markdown 移入 internal-review/downloads。","yes","mitigated","2026-07-19 P0 修复：不再公开未审核完整正文或 Markdown 下载；文章正文后续仍需逐篇人工审核。"
"CS-005","B. 品牌事实与来源","high","conditional","app/knowledge-base/page.tsx; app/knowledge-base/KnowledgeBaseExplorer.tsx; app/knowledge-base/knowledge-base-public.json; public/downloads/yhl-geo-knowledge-base-public.json; public/downloads/yhl-geo-brand-fact-knowledge-base.xlsx","/knowledge-base; public/downloads","公开知识库包含 5 条 L3 待补事实和 3 条待补信源","品牌事实知识库工作簿 事实原子库/信源主表；公开 JSON summary/evidenceLevels/sources","知识库页面和 JSON 下载公开了 L3 待补事实与待补信源。当前有标签和边界，不构成事实错误，但公开发布前需确认是否允许将待补条目进入 publicFacts。","app/knowledge-base/page.tsx:148-149 显示 24 可用 / 3 待补、41 条进入公开快照；app/knowledge-base/KnowledgeBaseExplorer.tsx:89-90 可筛选 L3 和待补信源；app/knowledge-base/knowledge-base-public.json:595-617 FACT-0011 L3；793-810 FACT-0020 L3；941-983 FACT-0026/FACT-0027 L3；1500-1589 A-011/B-006/B-007 待补","由品牌事实知识库工作簿只读生成安全过滤版公开 JSON；排除 L3、待补信源、未审核/无有效 source_id 记录；完整知识库 XLSX 移入 internal-review/downloads。","yes","resolved","2026-07-19 P0 修复：公开 JSON 原始事实 41 条，公开 36 条，排除 5 条；公开信源 24 条；生成 docs/public-knowledge-base-export-report.md。"
"CS-006","D. 指标和效果承诺","high","conditional","app/data.ts; app/page.tsx; app/strategy/page.tsx; public/downloads/yhl-geo-90-day-content-execution.xlsx","/; /strategy; strategy workbook","页面和策略工作簿将 P0 页面、FAQ、30/30 覆盖、24/6 回答和质检通过写成已完成或已发布","90 天策略工作簿 KPI看板/发布质检；本阶段治理规则要求 FAQ、提示词、文章发布前人工确认","指标可从策略工作簿溯源，但在内容安全审计前仍写成已发布/通过，容易被理解为已经完成公开发布审查。","app/data.ts:392-397 5 个 P0 页面和 FAQ-P0-HUB status=已发布；app/page.tsx:134 写 30/30、24题完整、6题边界；app/strategy/page.tsx:66、101 写 30个问题全部映射、页面五项字段质检100%通过；策略工作簿 90天排期 T-003/T-004 为已完成","保留内容承接指标，但页面需明确其为 baseline 后的内容质量检查；90 天执行工作簿继续 internal-review，不作为公开下载。","yes","mitigated","2026-07-19 P1 修复：首页和策略页已将 30/30、24/6 表述改为内容承接口径，并说明尚未完成复测；FAQ 状态改为13条公开、2条hold。"
"CS-007","C. AI 测试真实性","medium","no","app/page.tsx; app/method/page.tsx; app/strategy/page.tsx","/; /method; /strategy","指标页没有在每组图表旁完整披露测试日期、test_mode 和 web_search_status","主工作簿 Baseline150/UserIntent75 test_date、test_mode、web_search_status、record_limitations","网站已说明历史联网状态、引用来源和模型版本未记录，但关键指标卡没有直接给出测试日期；Baseline 日期在工作簿中为 Excel 序列值 46216，UserIntent 为 2026-07-13。","app/page.tsx:57 说明未记录字段；app/method/page.tsx:15 说明历史测试联网状态/模型模式/版本未记录；主工作簿重算显示 Baseline test_mode=未记录、web_search_status=未记录、test_date=46216；UserIntent test_date=2026-07-13","首页、策略页和方法页保留数据版本、测试日期、平台范围、人工评分、主源和未复测说明。","no","resolved","2026-07-19 P1 修复：已披露 baseline/基线、2026-07-13、五个平台、人工四维评分、主工作簿来源和未完成复测。"
"CS-008","F. 下载文件","medium","conditional","public/downloads; docs/data-sync-policy.md","public/downloads","公开下载件缺少面向发布的来源版本和哈希清单","docs/data-sync-policy.md 下载副本规则；本次只读哈希校验结果","下载副本与已登记外部来源逐字节一致，但网站仓库没有公开或随包可读的下载 manifest，无法让人工审核者快速确认来源、版本日期、复制时间和哈希。","docs/data-sync-policy.md:48-57 要求记录来源 canonical 路径、版本日期、导出/复制时间、哈希；本次校验确认 XLSX/JSON/PDF/DOCX 哈希匹配，但 public/downloads 无 manifest","维护 `public/downloads/manifest.json` 与 `docs/download-manifest.md`；公开页只能链接 public 且 approved/conditional 的文件，blocked/internal-review 文件留在 `internal-review/downloads`。","yes","resolved","2026-07-19 P1 修复：manifest 已记录来源、版本/哈希、审核状态、最近验证日期和免责声明；PDF/DOCX 因旧域名移入 internal-review。"
"CS-009","B. 品牌事实与来源","medium","no","app/data.ts; app/method/page.tsx","/method","方法页标题写已核验第三方/权威来源，但页面只展示 app/data.ts 的 10 条 B 类来源子集","品牌事实知识库 信源主表：27 条信源，24 可用，3 待补；app/data.ts sources 子集","方法页会让读者看到 10 条来源表，可能误以为这是完整来源库；正文虽说明完整信源库共 27 条，但标题和表格没有显著标注为精选子集。","app/method/page.tsx:14 标题为已核验第三方/权威来源；app/data.ts:122-193 仅 B-001 到 B-005、B-008 到 B-012；app/method/page.tsx:14 后文说明完整信源审计库共27条","后续修复时将表格标题改成精选第三方/权威来源子集，或链接到完整知识库信源表。","no","open","不影响事实本身，但影响来源完整性理解。"
"CS-010","D. 指标和效果承诺","medium","conditional","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/reports/元亨利GEO_全面诊断报告_作品集版.md","external project report","项目报告的数据来源仍列出 archive/outdated 或 derived CSV","docs/data-governance-decisions.md canonical 决定；docs/data-source-inventory.csv 标记 REDWOOD-FULL150 为 archive/outdated、REDWOOD-225 为 derived","外部全面诊断报告不是网站仓库公开页，但如作为项目报告分发，会与当前 canonical 治理冲突。","reports/元亨利GEO_全面诊断报告_作品集版.md:20-23 列 redwood_round2_domestic5_full150.csv、geo_225_scored_platform_summary.csv 和投递版工作簿；docs/data-source-inventory.csv:26 标记 REDWOOD-FULL150 archive/outdated；docs/data-source-inventory.csv:33 标记 REDWOOD-225 derived","若该报告继续分发，应把主数据来源改为投递版工作簿，并将早期 CSV 标为历史或 derived。","yes","open","外部文件只读，本阶段不修改。"
"CS-011","D. 指标和效果承诺","medium","conditional","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/reports/元亨利GEO_全面诊断报告_作品集版.md","external project report","项目报告存在已生成 Organization Schema、FAQ Schema 待建设等旧实施状态","当前网站 app 路由和构建脚本；治理文档规定 TSX/构建产物为 derived","报告中对 Schema 和内容状态的描述与当前 V2 网站结构不完全一致，若公开会造成实施状态误解。","reports/元亨利GEO_全面诊断报告_作品集版.md:128 写已生成 Organization Schema；132 写 Schema 全部署待建设；152-153 写 Organization Schema + FAQ Schema；当前网站重点为 Dataset/CreativeWork/CollectionPage JSON-LD，未见 Organization/FAQ schema 作为公开主线","在修复阶段统一报告与当前网站实现状态；把未实施项写成建议或后续计划。","yes","open","外部报告非仓库内公开路由，但属于项目报告风险。"
"CS-012","D. 指标和效果承诺","medium","conditional","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/reports/元亨利GEO_摘要结论与方法论.md","external project report","面试讲法使用提高品牌被准确引用的概率","主工作簿和网站均不证明 AI 收录、引用、曝光、推荐或销售提升","该表述是概率性效果预期，容易被理解为引用概率提升承诺；当前没有复测或因果证据。","reports/元亨利GEO_摘要结论与方法论.md:73 写提高品牌被准确引用的概率；app/page.tsx:148 和 app/strategy/page.tsx:105 明确不声称 AI 推荐/引用/效果提升","改为降低无来源扩写风险、提升事实可核验性或为后续复测提供基线。","yes","open","外部报告只读。"
"CS-013","E. FAQ、提示词和文章公开状态","medium","conditional","public/downloads/yhl-geo-enterprise-prompt-system.md; public/downloads/yhl-geo-article-matrix.md; public/downloads/yhl-geo-full-article-samples.md","public/downloads","三份 Markdown canonical 缺少显式 publication-review-required、作者、审核状态字段","治理规则：FAQ、提示词体系、GEO 文章样稿统一 publication-review-required","三份 Markdown 有更新日期和声明，但没有机器可读或显著可见的 publication status、author、reviewer 或 approval status；不利于人工审核闭环。","public/downloads/yhl-geo-enterprise-prompt-system.md:3-5 仅更新日期/适用范围/来源；public/downloads/yhl-geo-article-matrix.md:3-5 仅更新日期/用途/声明；public/downloads/yhl-geo-full-article-samples.md:3-6 仅更新日期/官网地址/用途/声明","继续在 internal-review 中补齐 Markdown 文件内 publication status、author、reviewer、review date 和 source version；补齐前不得重新公开。","yes","mitigated","2026-07-19 P1 修复：三份 Markdown 已不在 public/downloads，manifest 记录为 internal-review/blocked；文件内审核字段仍需人工补齐。"
"CS-014","A. 项目身份与授权边界","low","no","app/layout.tsx","site metadata / Open Graph","站点 metadata description 没有非官方/公开研究边界","主工作簿 README 和网站正文声明；项目身份治理规则","页面正文和 footer 有非官方声明，但搜索结果或社交预览可能只显示 metadata description，其中没有不代表官方或基于公开信息的边界。","app/layout.tsx:33-39 metadata title/description/openGraph 仅写 GEO 公开研究案例、225条AI回答等；app/components.tsx:38-39 footer 才写不代表官方、不声称效果","metadata description / Open Graph description 和共享页脚保留独立研究、基于公开资料、非官方委托、不代表品牌官方立场的边界。","no","resolved","2026-07-19 P1 修复：layout metadata 与全站 footer 均已补充项目身份和授权边界。"
"CS-015","B. 品牌事实与来源","low","no","public/downloads/yhl-geo-full-article-samples.md","public/downloads article samples","完整文章样稿 front matter 没有 source_id/fact_id 入口","GEO 文章矩阵 Markdown；知识库公开 JSON facts/sources","完整文章样稿正文多处引用主体核验、官网和标准，但文件前部只写官网地址，没有列出与主文章对应的 fact_id/source_id；读者需要另看文章矩阵才能完整追溯。","public/downloads/yhl-geo-full-article-samples.md:3-6 仅更新日期、官网地址、用途、声明；public/downloads/yhl-geo-article-matrix.md:9-16 才列出每篇文章 source_id/fact_id","后续可在完整样稿每篇标题下补 fact_id/source_id 摘要或链接到文章矩阵。","no","open","不影响事实边界，但影响可审计便利性。"
